PUID,Name,Version,Extensions,Media Types
fmt/70,Drawing Interchange File Format (ASCII),2.2,dxf ,image/vnd.dxf
fmt/71,Drawing Interchange File Format (ASCII),2.5,dxf ,image/vnd.dxf
fmt/72,Drawing Interchange File Format (ASCII),2.6,dxf ,image/vnd.dxf
fmt/73,Drawing Interchange File Format (ASCII),R9,dxf ,image/vnd.dxf
fmt/74,Drawing Interchange File Format (ASCII),R10,dxf ,image/vnd.dxf
fmt/75,Drawing Interchange File Format (ASCII),R11/12,dxf ,image/vnd.dxf
fmt/76,Drawing Interchange File Format (ASCII),R13,dxf ,image/vnd.dxf
fmt/77,Drawing Interchange File Format (ASCII),R14,dxf ,image/vnd.dxf
fmt/78,Drawing Interchange File Format (ASCII),2000-2002,dxf ,image/vnd.dxf
fmt/79,Drawing Interchange File Format (ASCII),2004/2005/2006,dxf ,image/vnd.dxf
fmt/80,Drawing Interchange File Format (Binary),R10,dxf ,image/vnd.dxf
fmt/81,Drawing Interchange File Format (Binary),R11/12,dxf ,image/vnd.dxf
fmt/82,Drawing Interchange File Format (Binary),R13,dxf ,image/vnd.dxf
fmt/83,Drawing Interchange File Format (Binary),R14,dxf ,image/vnd.dxf
fmt/84,Drawing Interchange File Format (Binary),2000-2002,dxf ,image/vnd.dxf
fmt/85,Drawing Interchange File Format (Binary),2004-2006,dxf ,image/vnd.dxf
fmt/86,PCX,0,pcc pcx ,image/vnd.zbrush.pcx
fmt/87,PCX,2,pcc pcx ,image/vnd.zbrush.pcx
fmt/88,PCX,3,pcc pcx ,image/vnd.zbrush.pcx
fmt/89,PCX,4,pcc pcx ,image/vnd.zbrush.pcx
fmt/90,PCX,5,pcc pcx ,image/vnd.zbrush.pcx
fmt/91,Scalable Vector Graphics,1.0,svg ,image/svg+xml
fmt/92,Scalable Vector Graphics,1.1,svg ,image/svg+xml
fmt/93,Virtual Reality Modeling Language,1.0,wrl ,model/vrml
fmt/94,Virtual Reality Modeling Language,2.0,wrl ,model/vrml
fmt/95,Acrobat PDF/A - Portable Document Format,1a,pdf ,application/pdf
fmt/96,Hypertext Markup Language,,htm html ,text/html
fmt/97,Hypertext Markup Language,2.0,htm html ,text/html
fmt/98,Hypertext Markup Language,3.2,htm html ,text/html
fmt/99,Hypertext Markup Language,4.0,htm html ,text/html
fmt/100,Hypertext Markup Language,4.01,htm html ,text/html
fmt/101,Extensible Markup Language,1.0,xml ,application/xml text/xml
fmt/102,Extensible Hypertext Markup Language,1.0,htm html ,application/xhtml+xml
fmt/103,Extensible Hypertext Markup Language,1.1,htm html ,application/xhtml+xml
fmt/104,Macromedia Flash,1,swf ,application/x-shockwave-flash
fmt/105,Macromedia Flash,2,swf ,application/x-shockwave-flash
fmt/106,Macromedia Flash,3,swf ,application/x-shockwave-flash
fmt/107,Macromedia Flash,4,swf ,application/x-shockwave-flash
fmt/108,Macromedia Flash,5,swf ,application/x-shockwave-flash
fmt/109,Macromedia Flash,6,swf ,application/x-shockwave-flash
fmt/110,Macromedia Flash,7,swf ,application/x-shockwave-flash
fmt/111,OLE2 Compound Document Format,,,
fmt/112,Still Picture Interchange File Format,1.0,jpg spf ,image/jpeg
fmt/113,Still Picture Interchange File Format,2.0,,image/jpeg
fmt/114,Windows Bitmap,1.0,bmp ddb ,image/bmp
fmt/115,Windows Bitmap,2.0,bmp dib ,image/bmp
fmt/116,Windows Bitmap,3.0,bmp dib ,image/bmp
fmt/117,Windows Bitmap,3.0 NT,bmp dib ,image/bmp
fmt/118,Windows Bitmap,4.0,bmp dib ,image/bmp
fmt/119,Windows Bitmap,5.0,bmp dib ,image/bmp
fmt/120,DROID File Collection File Format,1.0,xml ,text/xml
fmt/121,DROID Signature File Format,1.0,xml ,text/xml
fmt/122,Encapsulated PostScript File Format,1.2,eps epsf ,application/postscript
fmt/123,Encapsulated PostScript File Format,2.0,eps epsf ,application/postscript
fmt/124,Encapsulated PostScript File Format,3,eps epsf ps ,application/postscript
fmt/125,Microsoft Powerpoint Presentation,95,ppt ,application/vnd.ms-powerpoint
fmt/126,Microsoft Powerpoint Presentation,97-2003,ppt ,application/vnd.ms-powerpoint
fmt/127,OpenOffice Draw,1.0,sxd ,application/vnd.sun.xml.draw
fmt/128,OpenOffice Writer,1.0,sxw ,application/vnd.sun.xml.writer
fmt/129,OpenOffice Calc,1.0,sxc ,application/vnd.sun.xml.calc
fmt/130,OpenOffice Impress,1.0,sxi ,application/vnd.sun.xml.impress
fmt/131,Advanced Systems Format,,asf ,application/vnd.ms-asf
fmt/132,Windows Media Audio,,asf wma ,audio/x-ms-wma
fmt/133,Windows Media Video,,asf wmv ,video/x-ms-wmv
fmt/134,MPEG 1/2 Audio Layer 3,,mp3 ,audio/mpeg
fmt/135,OpenDocument Format,1.0,,
fmt/136,OpenDocument Text,1.0,odt ott ,application/vnd.oasis.opendocument.text
fmt/137,OpenDocument Spreadsheet,1.0,ods ots ,application/vnd.oasis.opendocument.spreadsheet
fmt/138,OpenDocument Presentation,1.0,odp otp ,application/vnd.oasis.opendocument.presentation
fmt/139,OpenDocument Graphics,1.0,odg otg ,application/vnd.oasis.opendocument.graphics
fmt/140,OpenDocument Database Format,1.0,odb ,
fmt/141,Waveform Audio (PCMWAVEFORMAT),,wav wave ,audio/x-wav
fmt/142,Waveform Audio (WAVEFORMATEX),,wav wave ,audio/x-wav
fmt/143,Waveform Audio (WAVEFORMATEXTENSIBLE),,wav wave ,audio/x-wav
fmt/144,Acrobat PDF/X - Portable Document Format - Exchange 1:1999,,pdf ,application/pdf
fmt/145,Acrobat PDF/X - Portable Document Format - Exchange 1:2001,,pdf ,application/pdf
fmt/146,Acrobat PDF/X - Portable Document Format - Exchange 1a:2003,,pdf ,application/pdf
fmt/147,Acrobat PDF/X - Portable Document Format - Exchange 2:2003,,pdf ,application/pdf
fmt/148,Acrobat PDF/X - Portable Document Format - Exchange 3:2003,,pdf ,application/pdf
fmt/149,JTIP (JPEG Tiled Image Pyramid),,,
fmt/150,JPEG-LS,,jls ,
fmt/151,JPX (JPEG 2000 part 2),,jpf jpx ,image/jpx
fmt/152,Digital Negative Format (DNG),1.1,dng tif tiff ,image/tiff
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,tif tiff ,image/tiff
fmt/154,Tagged Image File Format for Electronic Photography (TIFF/EP),,tif tiff ,image/tiff
fmt/155,Geographic Tagged Image File Format (GeoTIFF),,tif tiff ,image/tiff
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,tfx tif tiff ,image/tiff
fmt/157,Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,,pdf ,application/pdf
fmt/158,Acrobat PDF/X - Portable Document Format - Exchange 3:2002,,pdf ,application/pdf
fmt/159,EBCDIC-US,,ebcdic ,
fmt/160,TeX/LaTeX Device Independent Document,,dvi ,application/x-dvi
fmt/161,SIARD (Software-Independent Archiving of Relational Databases),1.0,siard ,
fmt/162,Microsoft Multiplan,4.0,mod ,
fmt/163,Microsoft Works Word Processor 1-3 for DOS and 2 for Windows,,wps ,
fmt/164,Microsoft Works Word Processor for DOS,1.12,,
fmt/165,Microsoft Works Word Processor for DOS,2.0,,
fmt/166,Microsoft Works Spreadsheet,1-5,wks ,
fmt/167,Microsoft Works Spreadsheet for DOS,1.12,,
fmt/168,Microsoft Works Spreadsheet for DOS,2.0,,
fmt/169,Microsoft Works Database for DOS,1.05,wdb ,
fmt/170,Microsoft Works Database for DOS,1.12,wdb ,
fmt/171,Microsoft Works Database for DOS,2.0,wdb ,
fmt/172,Microsoft Excel for Macintosh,3.0,,
fmt/173,Microsoft Excel for Macintosh,4.0,,
fmt/174,Microsoft Excel for Macintosh,98,,
fmt/175,Microsoft Excel for Macintosh,2001,xls ,
fmt/176,Microsoft Excel for Macintosh,2002,xls ,
fmt/177,Microsoft Excel for Macintosh,2004,xls ,
fmt/178,Microsoft Excel for Macintosh,X,,
fmt/179,Microsoft PowerPoint for Macintosh,4.0,ppt ,
fmt/180,Microsoft PowerPoint for Macintosh,98,,
fmt/181,Microsoft PowerPoint for Macintosh,2001,ppt ,
fmt/182,Microsoft PowerPoint for Macintosh,X,,
fmt/183,PrimeOCR,3.0,pro ,
fmt/184,PrimeOCR,3.8,pro ,
fmt/185,Prime OCR,3.9,pro ,
fmt/186,PrimeOCR,4.0,pro ,
fmt/187,PrimeOCR,4.2,pro ,
fmt/188,PrimeOCR,4.3,pro ,
fmt/189,Microsoft Office Open XML,2007 onwards,,
fmt/190,Adobe FrameMaker Document,5.0,fm ,application/vnd.framemaker
fmt/191,Sony ARW RAW Image File,1.x,arw ,
fmt/192,Kodak Digital Camera Raw Image File,,dcr ,
fmt/193,Digital Moving Picture Exchange Bitmap,1.0,dpx ,
fmt/194,FileMaker Pro Database,7+,fp7 ,
fmt/195,ERDAS IMAGINE Gray-scale Bitmap Image,,gis ,
fmt/196,Adobe InDesign Document,CS,ind indd indt ,
fmt/197,InstallShield Compiled Rules File,,inx ,
fmt/198,MPEG Audio Stream Layer II,,mp2 mpa mpw ,audio/mpeg
fmt/199,MPEG-4 Media File,,f4a f4v m4a m4v mp4 ,application/mp4 video/mp4
fmt/200,Material Exchange Format,Operational Pattern 1a,mxf ,application/mxf
fmt/201,Mathematica Notebook,,nb ,application/mathematica
fmt/202,Nikon Digital SLR Camera Raw Image File,,nef nrw ,
fmt/203,Ogg Vorbis Codec Compressed Multimedia File,,ogg ,audio/ogg
fmt/204,RealVideo Clip,,rv ,
fmt/205,Synchronized Multimedia Integration Language (Generic),,smi smil ,
fmt/206,Structured Query Language Data,,sql ,
fmt/207,Obsidium Project File,,opf ,
fmt/208,Binary File,,bin ,
fmt/209,Sound Designer II Audio File,,sd2 ,
fmt/210,Statistica Report File,,str ,
fmt/211,Kodak Photo CD Image,,pcd ,
fmt/212,Information or Setup File,,inf ,
fmt/213,ScanIt Document,,sid ,
fmt/214,Microsoft Excel for Windows,2007 onwards,xlsx ,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
fmt/215,Microsoft Powerpoint for Windows,2007 onwards,pptx ,application/vnd.openxmlformats-officedocument.presentationml.presentation
fmt/216,Microsoft Visio XML Drawing,2003-2010,vdx ,application/vnd.visio
fmt/217,PaintShop Pro Browser Cache File,,jbf ,
fmt/218,Microsoft FrontPage,,lck ,
fmt/219,Microsoft Works Database for Windows,2.0,wdb ,
fmt/220,Microsoft Works Spreadsheet for Windows,2.0,,
fmt/221,Microsoft Works Word Processor for Windows,2.0,,
fmt/222,Microsoft Works Database for Windows,2.0a,wdb ,
fmt/223,Microsoft Works Database for Windows,3.0,wdb ,
fmt/224,Microsoft Works Database for Windows,3.0a,wdb ,
fmt/225,Microsoft Works Database for Windows,3.0b,wdb ,
fmt/226,Microsoft Works Database for Windows,4.0,wdb ,
fmt/227,Microsoft Works Spreadsheet for Windows,2.0a,,
fmt/228,Microsoft Works Spreadsheet for Windows,3.0,,
fmt/229,Microsoft Works Spreadsheet for Windows,3.0a,,
fmt/230,Microsoft Works Spreadsheet for Windows,3.0b,,
fmt/231,Microsoft Works Spreadsheet for Windows,4.0,,
fmt/232,Microsoft Works Word Processor for Windows,2.0a,,
fmt/233,Microsoft Works Word Processor 3-4 for Windows,,wps ,
fmt/234,Microsoft Works Word Processor for Windows,3.0a,,
fmt/235,Microsoft Works Word Processor for Windows,3.0b,,
fmt/236,Microsoft Works Word Processor for Windows,4.0,,
fmt/237,Microsoft Office Binder File for Windows,95,obd ,
fmt/238,Microsoft Office Binder Template for Windows,95,obt ,
fmt/239,Microsoft Office Binder Wizard for Windows,95,obz ,
fmt/240,Microsoft Office Binder File for Windows,97-2000,obd ,
fmt/241,Microsoft Office Binder Template for Windows,97-2003,obt ,
fmt/242,Microsoft Office Binder Wizard for Windows,97-2003,obz ,
fmt/243,GPS Exchange Format,1.0,gpx ,
fmt/244,Keyhole Markup Language (XML),,kml ,application/vnd.google-earth.kml+xml
fmt/245,Structured Data Exchange Format,,,
fmt/246,Microsoft Works Database for Windows,4.0a,wdb ,
fmt/247,Microsoft Works Spreadsheet for Windows,4.0a,,
fmt/248,Microsoft Works Word Processor Windows,4.0a,,
fmt/249,Microsoft Works Database for Windows,4.5,wdb ,
fmt/250,Microsoft Works Spreadsheet for Windows,4.5,,
fmt/251,Microsoft Works Word Processor Windows,4.5,,
fmt/252,Microsoft Works Database for Windows,4.5a,wdb ,
fmt/253,Microsoft Works Spreadsheet for Windows,4.5a,,
fmt/254,Microsoft Works Word Processor Windows,4.5a,,
fmt/255,DjVu File Format,,djv djvu ,image/vnd.djvu image/x-djvu
fmt/256,Microsoft Works Database for Windows,2000,wdb ,
fmt/257,Microsoft Works Spreadsheet for Windows,2000,,
fmt/258,Microsoft Works Word Processor 5-6,,wps ,
fmt/259,Microsoft Works Database for DOS,3,wdb ,
fmt/260,Microsoft Works Database for DOS,3a,wdb ,
fmt/261,Microsoft Works Database for DOS,3b,wdb ,
fmt/262,Microsoft Works Spreadsheet for DOS,3,,
fmt/263,Microsoft Works Spreadsheet for DOS,3a,,
fmt/264,Microsoft Works Spreadsheet for DOS,3b,,
fmt/265,Microsoft Works Word Processor DOS,3,,
fmt/266,Microsoft Works Word Processor DOS,3a,,
fmt/267,Microsoft Works Word Processor DOS,3b,,
fmt/268,Microsoft Works Database for Macintosh,3,wdb ,
fmt/269,Microsoft Works Database for Macintosh,4,wdb ,
fmt/270,Microsoft Works Spreadsheet for Macintosh,3,wks ,
fmt/271,Microsoft Works Spreadsheet for Macintosh,4,wks ,
fmt/272,Microsoft Works Word Processor Macintosh,3,wps ,
fmt/273,Microsoft Works Word Processor Macintosh,4,wps ,
fmt/274,SPSS Output File (spv),,spv ,
fmt/275,Microsoft Access Database,2007,accdb ,
fmt/276,Acrobat PDF 1.7 - Portable Document Format,1.7,pdf ,application/pdf
fmt/277,ESRI Arc/View Shapefile Index,,shx ,
fmt/278,Internet Message Format,,eml ,message/rfc822
fmt/279,FLAC (Free Lossless Audio Codec),1.2.1,flac ,audio/flac
fmt/280,LaTeX (Master document),,,
fmt/281,LaTeX (Subdocument),,,
fmt/282,netCDF-3 Classic,,cdf nc ,application/netcdf application/x-netcdf
fmt/283,netCDF-3 64-bit,,cdf nc ,application/netcdf application/x-netcdf
fmt/284,Gridded Binary,1.0,grb wmo ,
fmt/285,Gridded Binary,2.0,grb wmo ,
fmt/286,HDF5,1,h5 hdf hdf5 nc ,
fmt/287,HDF5,2,h5 hdf hdf5 nc ,
fmt/288,Microsoft Front Page Server Extension Configuration,,,
fmt/289,WARC,,warc ,application/warc
fmt/290,OpenDocument Text,1.1,odt ott ,application/vnd.oasis.opendocument.text
fmt/291,OpenDocument Text,1.2,odt ott ,application/vnd.oasis.opendocument.text
fmt/292,OpenDocument Presentation,1.1,odp otp ,application/vnd.oasis.opendocument.presentation
fmt/293,OpenDocument Presentation,1.2,odp otp ,application/vnd.oasis.opendocument.presentation
fmt/294,OpenDocument Spreadsheet,1.1,ods ots ,application/vnd.oasis.opendocument.spreadsheet
fmt/295,OpenDocument Spreadsheet,1.2,ods ots ,application/vnd.oasis.opendocument.spreadsheet
fmt/296,OpenDocument Graphics,1.1,odg otg ,application/vnd.oasis.opendocument.graphics
fmt/297,OpenDocument Graphics,1.2,odg otg ,application/vnd.oasis.opendocument.graphics
fmt/298,Autodesk Animator Pro FLIC,,flc ,
fmt/299,Autodesk Animator (FlicLib),,fli ,
fmt/300,ChiWriter Document,4,chi ,
fmt/301,Computer Graphics Metafile ASCII,3,cgm ,image/cgm
fmt/302,Computer Graphics Metafile ASCII,4,cgm ,image/cgm
fmt/303,Computer Graphics Metafile (Binary),1,cgm ,image/cgm; version=1
fmt/304,Computer Graphics Metafile (Binary),2,cgm ,image/cgm; version=2
fmt/305,Computer Graphics Metafile (Binary),3,cgm ,image/cgm; version=3
fmt/306,Computer Graphics Metafile (Binary),4,cgm ,image/cgm; version=4
fmt/307,Quicken Interchange Format,,qif ,application/qif
fmt/308,Quicken Data Format,,qdf ,
fmt/309,Open Financial Exchange,1.02,ofx qfx ,application/x-ofx
fmt/310,Open Financial Exchange,1.03,ofx qfx ,application/x-ofx
fmt/311,Open Financial Exchange,1.6,ofx qfx ,application/x-ofx
fmt/312,Open Financial Exchange,2.0.3,ofx qfx ,application/x-ofx
fmt/313,Open Financial Exchange,2.1.1,ofx qfx ,application/x-ofx
fmt/314,Play SID Audio,1,psid sid ,audio/prs.sid
fmt/315,Play SID Audio,2,psid sid ,audio/prs.sid
fmt/316,Real SID Audio,,sid ,audio/prs.sid
fmt/317,Macromedia Director,Macintosh,dir dxr ,application/x-director
fmt/318,Secure DjVU,,djv djvu ,image/vnd.djvu image/x-djvu
fmt/319,ESRI Spatial Index File,,sbn sbx ,
fmt/320,ESRI Shapefile Projection (Well-Known Text) Format,,prj ,
fmt/321,ESRI Shapefile Header Index,,aih ,
fmt/322,Portable Form File,,pff ,
fmt/323,Extended Module Audio File,,xm ,audio/xm
fmt/324,EndNote Style File,,ens ,application/x-endnote-style
fmt/325,EndNote Library,1-9,enl ,
fmt/326,EndNote Connection File,,enz ,application/x-endnote-connect application/x-endnote-connection
fmt/327,EndNote Filter File,,enf ,
fmt/328,EndNote Import File,,enr enw ,application/x-endnote-refer
fmt/329,Shell Archive Format,,shar ,application/x-sh application/x-shar
fmt/330,Peak Graphical Waveform File,,pk ,
fmt/331,Autorun Configuration File,,inf ,
fmt/332,ESRI Arc/View Project,3.x,apr def ,
fmt/333,Chemical Markup Language,,cml ,
fmt/334,Crystallographic Information Framework,,cif ,
fmt/335,Dreamweaver Lock File,,lck ,
fmt/336,Graphic Workshop for Windows Thumbnail File,,thn ,
fmt/337,MJ2 (Motion JPEG 2000),,mj2 mjp2 ,video/mj2
fmt/338,Interchange File Format Interleaved Bitmap,,iff lbm ,
fmt/339,Interchange File Format 8-bit Sampled Voice,,8svx iff ,
fmt/340,Lotus WordPro Document,97/Millennium,lwp ,application/lwp application/vnd.lotus-wordpro
fmt/341,Macintosh PICT Image,2.0,pct pic pict ,image/x-pict
fmt/342,Microsoft Project Export File,4.0,mpx ,application/x-project
fmt/343,Microsoft Project Export File,3.0,mpx ,application/x-project
fmt/344,Microsoft Windows Enhanced Metafile,2.0,emf ,image/emf
fmt/345,Microsoft Windows Enhanced Metafile,3.0,emf ,image/emf
fmt/346,Microsoft Word for Macintosh Document,1.0,mcw ,application/msword
fmt/347,MPEG 1/2 Audio Layer I,,mp1 ,audio/mpeg
fmt/348,Paint Shop Pro Image,9,pspimage ,
fmt/349,Paint Shop Pro Image,10,pspimage ,
fmt/350,Paradox Database Table,3.0,db ,
fmt/351,Paradox Database Table,4.0,db ,
fmt/352,Paradox Database Table,5.0,db ,
fmt/353,Tagged Image File Format,,tif tiff ,image/tiff
fmt/354,Acrobat PDF/A - Portable Document Format,1b,pdf ,application/pdf
fmt/355,Rich Text Format,1.9,rtf ,application/rtf text/rtf
fmt/356,Adaptive Multi-Rate Audio,,amr ,audio/amr
fmt/357,3GPP Audio/Video File,,3gp 3gpp ,audio/3gpp video/3gpp
fmt/358,Internet Data Query File,,idq ,
fmt/359,Microsoft Front Page Binary Tree Index,,btr ,
fmt/360,pulse EKKO data file,,dt1 ,
fmt/361,pulse EKKO header file,,hd ,
fmt/362,GSSI SIR-10 RADAN data file,,dzt ,
fmt/363,SEG Y Data Exchange Format,Generic,segy ,
fmt/364,National Imagery Transmission Format,1.0,ntf ,application/vnd.nitf
fmt/365,National Imagery Transmission Format,2.0,ntf ,application/vnd.nitf
fmt/366,National Imagery Transmission Format,2.1,ntf ,application/vnd.nitf
fmt/367,ESRI World File Format,,bilw blw bpw btw jgw jpgw pgw rasterw tfw tifw ,
fmt/368,ASPRS Lidar Data Exchange Format,1.0,las laz ,
fmt/369,ASPRS Lidar Data Exchange Format,1.1,las laz ,
fmt/370,ASPRS Lidar Data Exchange Format,1.2,las laz ,
fmt/371,Enhanced Compression Wavelet,,ecw ,
fmt/372,Earth Resource Satellite Image Header Format,,ers ,
fmt/373,FoxPro Database,2.x,dbf ,
fmt/374,Microsoft Visual FoxPro Database Table File,,dbf ,
fmt/375,FoxPro Compound Index File,,cdx ,
fmt/376,FoxPro Report,,frx ,
fmt/377,Microsoft Visual FoxPro Report,,frx ,
fmt/378,Chemical Draw Exchange Format,,cdx ,chemical/x-cdx
fmt/379,Microsoft Visual FoxPro Class Library,,vcx ,
fmt/380,Microsoft Visual FoxPro Project,,pjx ,
fmt/381,FoxPro Project,,pjx ,
fmt/382,Microsoft Visual FoxPro database container (table files),,dbc ,
fmt/383,VICAR (Video Image Communication and Retrieval) Planetary File Format,,img vic vicar ,
fmt/384,Microsoft Visual FoxPro database container (memo files),,dct ,
fmt/385,Microsoft Windows Cursor,,cur ,image/x-win-bitmap
fmt/386,Microsoft Animated Cursor Format,,ani ,
fmt/387,VCalendar format,,vcs ,text/x-vCalendar
fmt/388,Internet Calendar and Scheduling format,,ics ,text/calendar
fmt/389,Log ASCII Standard Format,1.2,las ,
fmt/390,Log ASCII Standard Format,2.0,las ,
fmt/391,Log ASCII Standard Format,3.0,las ,
fmt/392,MrSID Image Format (Multi-resolution Seamless Image Database),,sid ,
fmt/393,Borland Reflex flat datafile,,rxd ,
fmt/394,DS_store file (MAC),,ds_store ,
fmt/395,vCard,,vcf ,text/vcard
fmt/396,PocketMobi (Palm Resource) File,,mobi prc ,
fmt/397,Enigma Binary File (Finale),,mus ,
fmt/398,Enigma Transportable File (Finale),,etf ,
fmt/399,Stuffit X Archive File,,sitx ,
fmt/400,Macromedia FreeHand MX,11,fh11 ,
fmt/401,X-Windows Screen Dump,X11,xdm xwd ,
fmt/402,Truevision TGA Bitmap,2.0,icb tga vda vst ,
fmt/403,SuperCalc Spreadsheet,1,cal ,
fmt/404,RealAudio,4,ra ,
fmt/405,Portable Any Map,,pam ,
fmt/406,Portable Grey Map - Binary,,pgm pgmb ,
fmt/407,Portable Grey Map - ASCII,,pgm pgma ,
fmt/408,Portable Pixel Map - Binary,,ppm ppmb ,
fmt/409,Portable Bitmap Image - Binary,,pbmb pnm ,
fmt/410,Internet Archive,1.1,arc ,
fmt/411,RAR Archive,2.9,rar ,application/vnd.rar
fmt/412,Microsoft Word for Windows,2007 onwards,docx wbk ,application/vnd.openxmlformats-officedocument.wordprocessingml.document
fmt/413,Scalable Vector Graphics Tiny,1.2,svg ,
fmt/414,Audio Interchange File Format,1.2,aif aiff ,
fmt/415,Cinema 4D,4.x,c4d ,
fmt/416,Apple Core Audio Format,1.0,caf ,
fmt/417,Adobe Illustrator,88,ai ,application/postscript
fmt/418,Adobe Illustrator,3.0 / 3.2,ai ,application/postscript
fmt/419,Adobe Illustrator,4.0,ai ,application/postscript
fmt/420,Adobe Illustrator,5.0 / 5.5,ai ,application/postscript
fmt/421,Adobe Illustrator,Japan,ai ,application/postscript
fmt/422,Adobe Illustrator,6.0,ai eps ,application/postscript
